Id,sf_lms_Authored_Language__c,sf_lms_Class_Type__c
a858M0000004HdEQAU,en_US,In-Person
a858M0000004HoAQAU,es,In-Person
a858M0000004I0iQAE,es,In-Person;On-Demand
a858M0000004HxXQAU,fr,In-Person;On-Demand
a858M0000004HxmQAE,pt_BR,In-Person;Virtual;On-Demand
a858M0000004HxIQAU,en_US,In-Person
a858M0000004HVtQAM,en_US,In-Person;Virtual;On-Demand
a858M0000004HseQAE,en_US,In-Person;On-Demand
a858M0000004HxDQAU,en_US,In-Person
a858M0000004HxSQAU,en_US,In-Person;On-Demand
a858M0000004HXkQAM,en_US,In-Person
a858M0000004HsjQAE,es,In-Person;On-Demand
a858M0000004HuHQAU,en_US,Virtual
a858M0000004Hk5QAE,en_US,In-Person;On-Demand
a858M0000004HaeQAE,ja,Virtual
a858M0000004HhpQAE,en_US,Virtual
a858M0000004Hd9QAE,en_US,In-Person;Virtual
a858M0000004I4NQAU,en_US,In-Person;Virtual;On-Demand
a858M0000004I4SQAU,en_US,In-Person
a858M0000004I4nQAE,en_US,Virtual
a858M0000004I4rQAE,de,In-Person
a858M0000004I5BQAU,en_US,In-Person;Virtual
a858M0000004I3jQAE,fr,In-Person;Virtual;On-Demand
a858M0000004I4XQAU,en_US,Virtual
a858M0000004I5LQAU,pt_BR,In-Person;Virtual;On-Demand
a858M0000004I4cQAE,en_US,In-Person
a858M0000004I8lQAE,en_US,In-Person;Virtual
a858M0000004IGZQA2,en_US,In-Person;Virtual
a858M0000004I8gQAE,en_US,In-Person
a858M0000004I9KQAU,pt_BR,In-Person;Virtual;On-Demand
a858M0000004IBHQA2,en_US,In-Person
a858M0000004I9AQAU,en_US,In-Person
a858M0000004IF1QAM,en_US,In-Person;Virtual
a858M0000004IGoQAM,en_US,In-Person;Virtual
a858M0000004I8vQAE,en_US,In-Person;Virtual
a858M0000004IB2QAM,en_US,In-Person
a858M0000004I5QQAU,en_US,In-Person;Virtual
a858M0000004I9PQAU,en_US,In-Person;Virtual
a858M0000004I9ZQAU,en_US,In-Person;Virtual
a858M0000004IB7QAM,en_US,Virtual
a858M0000004IBMQA2,en_US,In-Person
a858M0000004IBCQA2,pt_BR,In-Person;On-Demand
a858M0000004I5kQAE,en_US,In-Person;Virtual
a858M0000004I95QAE,en_US,In-Person
a858M0000004IGeQAM,en_US,In-Person;Virtual
a858M0000004IGtQAM,en_US,In-Person;Virtual
a858M0000004IH8QAM,ja,In-Person;Virtual
a858M0000004ILhQAM,en_US,In-Person;Virtual
a858M0000004INeQAM,fr,In-Person;Virtual;On-Demand
a858M0000004IIgQAM,en_US,In-Person
a858M0000004ILXQA2,en_US,Virtual
a858M0000004ILcQAM,en_US,In-Person
a858M0000004IIbQAM,en_US,In-Person;Virtual
a858M0000004IR8QAM,en_US,Virtual
a858M0000004IM1QAM,en_US,In-Person;On-Demand
a858M0000004ILmQAM,en_US,In-Person
a858M0000004IRhQAM,en_US,In-Person
a858M0000004IMBQA2,pt_BR,In-Person;Virtual;On-Demand
a858M0000004IRSQA2,en_US,In-Person
a858M0000004IS1QAM,fr,In-Person
a858M0000004IH3QAM,en_US,In-Person;Virtual
a858M0000004IVMQA2,en_US,Virtual
a858M0000004IRcQAM,en_US,In-Person
a858M0000004IRNQA2,es,In-Person;On-Demand
a858M0000004IY4QAM,en_US,In-Person;On-Demand
a858M0000004IRXQA2,en_US,In-Person
a858M0000004IS6QAM,fr,In-Person
